Organizations,About,Technology,Category,Topics
Ceph Foundation,The Future of Storage,"c/c++, jenkins,  python,  javascript, shell script",Other," distributed systems, software defined storage"
CERN-HSF,The umbrella organization for Particle (High-Energy) Physics-related projects,"c/c++,  python, data analysis, machine learning, concurrency",Science and Medicine,"big data, machine learning, performance optimization, algorithmics, particle physics"
CGAL Project,C++ library of computational geometry and geometry processing," c++, git, qt",Science and Medicine,"computational geometry, geometry processing, mesh processing, triangulation, arrangement"
CHAOSS,CHAOSS creates software and metrics to better understand community health,"python, javascript, kibana, elasticsearch, mysql",Other,"community health, analytics"
Chapel,A Productive Parallel Programming Language,"chapel, high performance computing, c, c++, python",Programming Languages and Development Tools,"programming languages, compilers, high performance computing, distributed computing, parallel computing"
Checker Framework,"Prevent programming errors before they happen, via easy-to-use verification", java,Programming Languages and Development Tools,"programmer productivity, software engineering, verification, bug finding, type systems"
Checkstyle,Tool to help programmers write Java code that adheres to a coding standard.," java, antlr, xpath",Programming Languages and Development Tools,"static code analysis‎, code review tool, coding standards, coding conventions"
CircuitVerse.org,Have fun exploring logic circuits right from your browser!,"rails, javascript, bootstrap, html5, canvas",Web,"web, simulations, pedagogy, education, digital logic design"
CiviCRM,Open source CRM for nonprofits and civic sector organizations.,"php,  javascript, angularjs, mysql",Data and Databases,"crm, nonprofits"
Cloud Native Computing Foundation (CNCF),Building Sustainable Ecosystems for Cloud Native,"kubernetes, golang, cloud, rust, service mesh",Cloud,"cloud,  web, devops, kubernetes, service mesh"
CloudCV,Building platforms for reproducible AI research,"python, django, aws, docker, docker",Cloud,"machine learning, artificial intelligence, deep learning, computer vision"
Continuous Delivery Foundation,A Neutral Home for the Next Generation of Continuous Delivery Collaboration,"tekton, spinnaker, ci/cd, screwdriver",Cloud,"continuous delivery, continuous integration, cloud, devops"
coreboot,"Fast, secure and flexible OpenSource firmware","c, assembly, x86, arm",Operating Systems,"firmware, boot loader, drivers, hardware"
Creative Commons,"Nonprofit building a vibrant, collaborative, and global digital commons."," javascript, vue.js,  python, django, wordpress",Web,"copyleft, web, creative commons, legal, nonprofits"
CRIU,Checkpoint/Restore in User-space,"linux, c,  assembly",Operating Systems," cloud, live migration, snapshots"
Cuneiform Digital Library Initiative (CDLI),International digital library of artifacts inscribed with cuneiform writing,"python 3, php, mysql, html, css",Data and Databases,"computational linguistics, web portal, data processing, data visualization, digitization"
Dart,Dart is a client-optimized language for fast apps on any platform.,"dart, flutter, programming-language",Programming Languages and Development Tools,mobile-apps
DBpedia,Global and Unified Access to Knowledge.,"python, scala, java, javascript, rdf",Data and Databases,"knowledge graph, natural language processing, semantic web, data science, linked data"
Debian,The Universal Operating System,"git,  python,  javascript, c/c++, irc",Operating Systems,"operating systems,  kernel, package managers, packaging"
Digital Impact Alliance (DIAL) at UN Foundation,"Open source projects for humanitarian work, international development, and peace","c++, javascript, android, php, python",Other,"nonprofit, humanrights, humanitarian, international, global"
Django Software Foundation,The web framework for perfectionists with deadlines.,"python, django",Web,web development
Drupal,Drupal is a Framework/CMS. It's built many of the sites and apps you use daily.,"php, symfony, sql, javascript, drupal 8",Web,"web development, cms, apps, mobile-apps, object oriented programming"
Eclipse Foundation,"Non-profit, member-driven organization, a community of developers & OSS projects","eclipsejavaide, jakartaee,  java, che, deep learning",Other,"cloud native java, automotive, tools,  robotics, iot & edge"
Elastic,"We are the creators of Elasticsearch, Kibana, Beats, and Logstash."," java,  react, node.js, golang",Data and Databases,"databases, search, security, observability"
Embox,Modular and configurable OS for embedded applications,"c, gcc,  assembly",Operating Systems," embedded systems, rtos"
Erlang Ecosystem Foundation,Supporting the Beam community,"erlang, elixir, lfe, beam",Programming Languages and Development Tools,"language, soft real-time,  distributed systems, messaging, instant messaging"
Fedora Project,"Fedora Linux is built on the foundations of Freedom, Friends, Features, & First","python 3, rest, linux, web development, linux distribution",Operating Systems,"containers, linux, distribution, mobile, web development"
FFmpeg,"A complete, cross-platform solution to record, convert and stream audio & video","c, asm, git",Graphics / Video / Audio / Virtual Reality,"audio, video, subtitles, multimedia"
FOSSology,Open Source Compliance with Open Source Software,"php,  javascript, c/c++, twig,  python",End User Applications,"licensing, compliance, spdx, oss licencing, license-scan"
FrameNet Brasil (UFJF),Natural Language Understanding with structured computational semantics,"php, mysql,  javascript,  python",Data and Databases,"natural language processing, natural language understanding, multimodality,  video processing, multilinguality"
Free and Open Source Silicon Foundation,Free the last nanometer! Open source silicon and EDA tools,"verilog, risc-v,  python, c++",Other,"silicon, eda, fpga"
FreeBSD Project,FreeBSD: The Foundation of the Internet,"c/c++, llvm, shell script, assembly, make",Operating Systems,"operating systems, virtualization, kernel, cloud, embedded systems"
FreeType,FreeType is a freely available software library to render fonts.,"c, gnu make, gnu autotools, python, fonts",Graphics / Video / Audio / Virtual Reality,"graphics, library, rendering, fonts, opentype"
FRRouting,"Routing suite for *nix platforms including BGP, IS-IS, LDP, OSPF, PIM, and RIP.","c, linux, linux kernel, networking,  lua",Other," networking, software defined networking, linux, performance, systems programming"
GDevelop,The cross-platform game engine designed for everyone.,"javascript, c/c++, web development, game development, react",Programming Languages and Development Tools,"gaming, graphics, web applications,  web, compilers"
Gentoo Foundation,"A highly flexible, source-based Linux distribution","shell, bash, c/c++, python, linux",Operating Systems,"operating systems, package management, embedded, init, security"
GeomScale,Scalable algorithms for geometric statistics," c++, r,  python",Science and Medicine,"mathematical software, statistics, biology, optimization, finance"
Git,"fast, scalable, distributed revision control system","c,  shell script,  git",Programming Languages and Development Tools,"version control, dvcs"
Global Alliance for Genomics and Health,We develop open standards and tools for genomics to benefit human health,"java,  python, node.js, mongodb, spring",Science and Medicine,"genomics, genetics, bioinformatics, web, standards"
GNOME,The elegant and ethical desktop experience,"c, rust, gtk, vala,  python",End User Applications,"desktop, games, applications, productivity"
GNSS-SDR,An open source Global Navigation Satellite Systems software-defined receiver.,"c++, gnss",Science and Medicine,"gnss, signal processing, navigation, software defined radio"
GNU Compiler Collection (GCC),GCC,"c/c++, gnu autotools, gnu make",Programming Languages and Development Tools,"compilers, toolchain,  developer tools, openmp"
GNU Octave,Free Your Numbers," c++, hg",Programming Languages and Development Tools,"mathematics, numerical computation, numerical methods, matlab, scientific computing"
GNU Radio,The Free & Open Software Radio Ecosystem,"python, c++, qt",Other,"software defined radio, signal processing, communication"
Godot Engine,Godot is a multi-platform 2D and 3D game engine with a feature-rich editor,"c/c++, opengl, vulkan",Graphics / Video / Audio / Virtual Reality,"graphics, game development, cross-platform"
GPAC,C multimedia framework,"c, javascript, opengl",Graphics / Video / Audio / Virtual Reality,"multimedia, streaming, packaging, interactivity, rendering"
GraphQL Foundation,GraphQL is a fast and efficient query language for APIs.,"graphql,  javascript,  react, node.js",Data and Databases,"data and databases, api, graphql"
Haiku,A desktop operating system written in C++,"c++, posix, unix, webkit",Operating Systems,"filesystem, network, virtualization, kernel, drivers"
Haskell.org,"Standardized, statically typed, lazy functional programming language","haskell, ghc, cabal, codeworld, servant",Programming Languages and Development Tools,"haskell, functional programming,  education, build tools, compilers"
Hazelcast,In-Memory Computing Platform,"java,  distributed systems",Data and Databases,"in memory data grid, data streaming, stream processing"
Homebrew,The Missing Package Manager for macOS (or Linux),"ruby, bash",Programming Languages and Development Tools,"package managers, package management, macos, linux"
Hydra Ecosystem,Automate REST APIs. Build next generation API clients.,"python, rest, apis, hydra",Web,"web development, http, rest apis, knowledge graph"
INCF,Enabling open and FAIR neuroscience,"python, c/c++, java, tensorflow, javascript",Science and Medicine,"neuroscience, brain modelling, neuroimage processing, data visualization,  big data"
Inclusive Design Institute,The IDI addresses the challenge of designing ICT to work for all potential users,"javascript, html, css, node.js",End User Applications,"accessibility, inclusion, web applications, web development, web"
Inkscape,Vector graphics editor,"c++, svg, gtk,  python",Graphics / Video / Audio / Virtual Reality,"graphics, web, geometry"
Intel Media And Audio For Linux,We work on Linux opensource video and audio software for Intel.,"ffmpeg, gstreamer, sound open firmware, libxcam, vaapi",Graphics / Video / Audio / Virtual Reality,"360 stereo video, opensource audio firmware, ffmpeg neuronetwork"
Internet Archive,Universal Access to All Knowledge," javascript,  python",Web,"web archving, library, books"
JBoss Community,Community of Java projects around JBoss Middleware,"java, golang, react",Web,"programming languages and development tools, cloud, database, kubernetes, aerogear"
JdeRobot - Universidad Rey Juan Carlos,A software toolkit for developing applications in Robotics and Computer Vision," ros, gazebo,  python, c/c++,  opencv",Other,"robotics,  education,  computer vision, developer tools"
Jenkins project,Open-source automation server for building great things at any scale,"java, javascript, docker, kubernetes, go",Programming Languages and Development Tools,"continuous integration, continuous delivery, developer tools, devops, automation"
Joplin,A note taking and to-do application with synchronisation capabilities,"node.js, electron, react native, terminal-kit, react",End User Applications,"notes, synchronisation, sharing, encryption, cross-platform"
Kapitan,"Templated configuration management for Kubernetes, Terraform and other things","kubernetes, jsonnet, python 3, jinja2, terraform",Programming Languages and Development Tools,"programming languages, great developer tooling,  cloud, kubernetes"
KDE Community,International community creating Free Software together,"c++, qt, c,  opencv",End User Applications,"vr, graphics, applications"
Kiwix,Internet content for people without internet access,"python 3, c/c++, javascript, node.js, kotlin",Web,offline access
Kodi Foundation,The ultimate entertainment center,"ffmpeg,  python,  c++, sqlite, mysql",End User Applications,"media, video, audio, games"
Kubeflow,The machine learning toolkit for Kubernetes.,"python, jupyter notebook, tensorflow, kustomize, kubernetes",Cloud,"machine learning, infrastructure, cloud, kubernetes"
LabLua,Programming Languages Research with emphasis on the Lua language,"lua, céu, lunatik, pallene",Programming Languages and Development Tools,"scripting languages, reactive programming, compilers, operating systems"
Libre Space Foundation,Open-source software and hardware technologies for space,"python, django, sdr, embedded, space applications",Science and Medicine,"space applications, spacecraft, space standards, satellite data"
LibreHealth,Healthcare for Humanity,"java, javascript, python 3,  android, php",Science and Medicine,"web, radiology, mobile-apps, information security, deep learning"
LibreOffice,LibreOffice is a free and open source office suite.," c++,  python,  java",End User Applications,"office suite,  end-user application, desktop application, android"
libvirt,virtualization abstraction library,"kvm, xen, hypervisor, c, python",Cloud,"virtualization, library"
Linkerd,Linkerd is the ultralight service mesh for Kubernetes and beyond,"linkerd, kubernetes, golang, rust",Cloud,"service mesh, cloud infrastructure, microservices, containers,  networking"
Liquid Galaxy project,Liquid Galaxy is a remarkable panoramic system that is tremendously compelling.,"python, vue, html, javascript, java",Graphics / Video / Audio / Virtual Reality,"maps, machine learning, graphics, visualization, data visualization"
lowRISC,Open to the core - collaborative engineering for open source silicon and tools,"systemverilog, c++, fpga, python, risc-v",Other,"open hardware, compilers"
MacPorts,Open Source package manager for macOS.,"tcl, c, python, scripting, buildbot",End User Applications,"package management, macos, build tools, libraries"
MariaDB Foundation,One of the most popular databases on the web with many notable users,"mariadb, mysql, c, c++, java",Data and Databases,"databases, sql, performance,  distributed systems"
Matrix,"An open network for secure, decentralized communication","python, javascript, rust, go,  react",Social / Communications,"encryption, realtime communication, decentralised, team chat, chat"
MBDyn,Free general purpose Multibody Dynamics analysis,"c++,  python",Science and Medicine,"mechanical engineering, aeronautics, automotive, multibody dynamics, scientific computing"
MDAnalysis,A Python toolkit for analysing molecular dynamics simulations.,"python, cython, numpy, c/c++",Science and Medicine,"biophysics, computational chemistry, molecular simulation, cheminformatics, molecular dynamics"
MetaBrainz Foundation Inc.,"We curate and publish community maintained data sets, focused on music and books","python, postgres, solr, perl, spark",Data and Databases,"music, books, metadata, community, open data"
Metasploit,The world’s most used penetration testing framework,"ruby, postgresql, python, c, assembly",Security,"security, penetration testing, offensive security, exploitation"
MGGG Redistricting Lab,MGGG researches applications in math and computer science for US redistricting,"python, javascript, gis, julia, mapping",End User Applications,"web-interface, statistics, graph algorithms, mapping, civic tech"
MIT App Inventor,Anyone Can Build Apps That Impact the World,"javascript, java, google web toolkit, android, junit",Programming Languages and Development Tools,"education, mobile, web, apps, development"
Mixxx,DJ Mixing App With Powerful Features For All DJs,"c++, qt,  javascript, deep learning",End User Applications,"music, dj, streaming, music information retrieval"
mlpack,"mlpack is a fast, flexible machine learning library written in C++.","c++,  python, templates, machine learning,  deep learning",Data and Databases,"machine learning, optimization, data science, neighbor-search, reinforcement learning"
Moira,Moira is a realtime alerting system based on Graphite data,"golang,  javascript, typescript, graphite,  react",Programming Languages and Development Tools,"devops, monitoring, alerting, devtools, sre"
MoveIt,Moving robots into the future,"c++, ros",Other,robotics
Mozilla,Keeping the Internet open and accessible to all.," javascript, rust, html5, web development,  python",Web,"web browser, devtools, information security, open source"
MuseScore,MuseScore is music notation software used by millions of musicians worldwide,"c++, qt, qml, cmake",End User Applications,"music, notation software, piano, guitar"
mypy,Mypy is an optional static type checker for Python.,python,Programming Languages and Development Tools,"static code analysisâ€Ž, compiler"
MZmine,MZmine is an open-source software for mass-spectrometry data processing.,"java, javafx",Science and Medicine,"mass spectrometry, molecular analysis, visualization, data processing, molecular networking"
National Resource for Network Biology (NRNB),Developing open source software to enable network-based biomedical discovery,"java, javascript, python, r, rest",Science and Medicine,"network biology, graphics, web application, scientific computing, data science"
Neovim,hyperextensible Vim-based text editor,"c, lua, rpc",Programming Languages and Development Tools,"editor, programming"
Netty,Netty is an asynchronous event-driven network framework,"java, jni, c",Web,"nonblocking, network, async"
NumFOCUS,NumFOCUS promotes open source scientific software.,"python, c/c++, javascript, r, julia",Science and Medicine,"scientific computing, graphics, data science, numerical computing"
NV Access,Empowering lives through non-visual access to technology,"python,  c++,  ui automation,  iaccessible2,  win32 api",Other,"accessibility,  blindness,  screen reader,  braille,  text to speech"
Open Bioinformatics Foundation (OBF),Promoting practice & philosophy of OSS & Open Science in biological research.,"python,  javascript, c/c++",Science and Medicine,"bioinformatics, computational biology"
Open Chemistry,Advancing Open Source and Open Science for Chemistry,"c/c++,  python,  javascript, opengl,  html",Science and Medicine,"scientific visualization,  scientific computing, computational chemistry,  data science, cheminformatics"
Open Genome Informatics,Association of open access genomics and bioinformatics projects.,"neo4j, python,  javascript,  react, r-project",Science and Medicine,"computational biology, biology,  genomics,  bioinformatics, data and databases"
Open Roberta,Open Roberta® Lab is an online IDE introducing kids to program robots with NEPO®,"java,  javascript",Programming Languages and Development Tools," education, web, visual programming,  robotics"
Open Source Robotics Foundation,"Open source software for use in robotics research, education and industry","ros, gazebo, c++, python",Programming Languages and Development Tools,robotics
OpenAstronomy,Opening the eyes of research astronomy software to the whole world.,"python, julia, spark, numba,  javascript",Science and Medicine,"astronomy, solar physics, orbital mechanics, high energy astrophysics, cloud infrastructure"
OpenCV,https://opencv.org,"c/c++, python 3,  javascript, cuda",Graphics / Video / Audio / Virtual Reality,"computer vision, deep learning, machine learning, robotics, graphics"
OpenEMR,OpenEMR is a leader in healthcare open-source software,"php, mysql,  javascript, docker,  html",Science and Medicine,"medical records, health, cloud, medicine, medical practice management solution"
OpenHMD,Multi-Platform Open Source driver for AR/VR/XR devices with stable ABI.,"c99, opengl, vulkan, opencv, libusb",Graphics / Video / Audio / Virtual Reality,"virtual reality, xr, drivers, reverse engineering, computer vision"
OpenMined,Answer questions using data you cannot see.,"deep learning, federated learning, homomorphic encryption, secure multi-party computation, differential privacy",Other,"privacy, artificial intelligence"
OpenMRS,Write code. Save lives.," java,  javascript, spring, mysql,  android",Science and Medicine,"science and medicine, open source medical records,  developing countries"
OpenRefine,"a free, open source power tool for working with messy data and improving it"," java,  javascript",Data and Databases,"real-time, data visualization,  data integration, web application"
OpenStreetMap,Creating and distributing free geographic data for the world.,"javascript, java,  python, sql, docker",Data and Databases,"maps, open data, crowdsourcing, gis"
openSUSE Project,openSUSE is a worldwide Free and Open Source Software community and project.,"linux,  python, perl, rpm,  javascript",Operating Systems,"tools, operating systems, software quality, build tools, containers"
OpenWISP,A Hackable Network Management System for the 21st Century,"python, django, openwrt, javascript, lua",Web,"iot,  networking, network visualization, wireless networks, network automation"
Oppia Foundation,Oppia is used for collaboratively building interactive and intelligent tutors.,"angular,  python,  css, kotlin, webpack",Web,"education,  web,  interactive,  tools,  community"
Orcasound,Humans & machines listening together to save the whales.,"elixir,  react, javascript,  python, raspberry pi",Science and Medicine,"real-time, audio, citizen science, machine learning, web application"
OSGeo,The Open Source Geospatial Foundation,"c/c++,  python, sql, open source databases,  java",Other,"gis, geolocation,  mapping,  open science, citizen science"
OWASP Foundation,"OWASP, The Open Web Application Security Project","python, javascript, .net, node.js",Security,"application security, web application security, information security, cyber security"
PEcAn Project,"Ecosystem science, policy, and management informed by the best data and models","r,  python, docker, postgresql, kubernetes",Science and Medicine,"ecosystem models, scientific visualization, ecological forecasting, data science, climate science"
Percona,Unbiased open source database experts.," javascript, shell script, golang, prometheus, grafana",Data and Databases,"data visualization, automation, load testing, alerts, testing"
Performance Co-Pilot,System-level performance analysis toolkit,"c, redis, grafana, rest, libuv",Operating Systems,"performance, analysis, distributed, timeseries, lightweight"
Pitivi,Allowing everyone on the planet to express themselves through filmmaking,"gtk,  gstreamer,  c, python 3",Graphics / Video / Audio / Virtual Reality,"filmmaking,  video editing,  video processing"
Point Cloud Library,An open project for 2D/3D image and point cloud processing.,"cpp, cmake, devops",Graphics / Video / Audio / Virtual Reality,"3d computer vision,  robotics, perception"
PostgreSQL,PostgreSQL is the world's most advanced Open Source database!,"postgresql, postgres, sql, c, perl",Data and Databases,"data, database, rdbms, sql, data management"
Postman,The Collaboration Platform for API Development,"node.js,  javascript",Programming Languages and Development Tools,"api management,  developer tools, api, programmer productivity"
Processing Foundation,Our goal is to empower people of all backgrounds to learn how to program.," python,  android,  opengl,  java,  javascript",Programming Languages and Development Tools,"creative coding, graphics, web,  education, design"
Purr Data,realtime audio/video visual programming language,"html5,  javascript, opengl, svg, c/c++",Graphics / Video / Audio / Virtual Reality,"real-time, audio, 2d/3d graphics, visual programming, music"
Python Software Foundation,Python is a programming language used by software developers and scientists.,python,Programming Languages and Development Tools,"security, machine learning, ui design, science"
QEMU,Open source machine emulator and virtualizer,"linux, kvm, c, virtualization, rust",Cloud,"emulator, hypervisor, lowlevel, code generation, compiler"
Qubes OS,A reasonably security operating system,"c, python, xen, shell, linux",Operating Systems,"virtualization, operating systems, security, privacy"
R Project for Statistical Computing,R is a free software environment for statistical computing and graphics,"r-project, c, c++, fortran,  javascript",Programming Languages and Development Tools,"data science, data visualization, statistics, graphics, machine learning"
Radare,Radare2 - Reverse Engineering Framework and Toolset,"c, c++, python, go, qt",Security,"reverse engineering, disassembly, debugging, program analysis"
ReactOS,Open your windows to freedom!,"c, c++, win32, nt",Operating Systems,"operating systems, drivers, kernel, windows, applications"
Red Hen Lab,Research on Multimodal Communication,"nlp, asr, opencv, machine learning, data science",Science and Medicine,"multimedia, data science, communication, big data, cognitive science"
RoboComp,An open-source framework to develop and manage robot components,"python,  c++11,  component-based development,  qt,  opencv",Other,"robotics,  computer vision,  multi-agent system,  component-based development"
Rocket.Chat,Open source team chat and federated collaboration platform,"javascript, react, reactnative, chatbots, ruby",Social / Communications,"social-network, communication, collaboration, team chat, instant messaging"
RTEMS Project,RTEMS is a real-time operating system kernel used around the world and in space.,"c/c++,  python,  assembly,  posix ,  bsd unix",Operating Systems,"real time,  kernel,  embedded systems,  multicore,  iot cps"
Ruby,"The Ruby programming language, libraries, and Ruby projects","ruby,  c,  java",Programming Languages and Development Tools,"programming language,  developer tools,  web servers, cloud"
SageMath,open-source mathematics software system,"python, cython",Science and Medicine,"mathematics,  education,  research,  math"
Samba,Opening windows to a wider world,"smb, cifs, c,  python",Data and Databases, networking
SCoRe Lab,"SCoRe has conducted research covering various aspects of Security, Mobile & IOT.","python, mobile, cloud, web development, machine learning",End User Applications,"information security, mobile, cloud, web development, machine learning"
ScummVM,ScummVM is a GSoC umbrella for game preservation projects,"c++,  sdl,  opengl,  assembly,  lua",End User Applications,"games,  game engines,  software preservation,  software archeology"
Shogun,Unified and efficient Machine Learning," python, c++, data science, machine learning, matlab",Science and Medicine,"machine learning,  scientific computing,  software engineering,  user experience,  data science"
SPDX,An open standard for communicating Software Bill of Materials," python,  java, golang, node.js, xml",Other,"open source, compliance, licensing"
Ste||ar group,Shaping a Scalable Future,"cpp, hpx, python, hpc, cuda",Programming Languages and Development Tools,"high performance computing, asynchronous manytask systems, machine learning, deep learning"
strace,linux syscall tracer,"linux, c, shell, make, awk",Operating Systems,"diagnostic, debugging, tracing"
Submitty,Programming assignment submission with automated grading and manual TA grading,"php, python, postgresql, c++, javascript",Other,"education, web, communication, visualization, privacy/security"
Sugar Labs,"We make tools that learners use to explore, discover, create, and reflect.","python, javascript, gtk, pygame, c",End User Applications,education
Swift,"Swift is a modern, type-safe, and fun general purpose programming language","swift, c++",Programming Languages and Development Tools,"developer tools, programming languages"
SymbiFlow,A completely FOSS toolchain for FPGAs.,"c/c++, fpga,  python, verilog",Programming Languages and Development Tools,"fpga, programming languages and development tools"
SymPy,Symbolic mathematics in Python,python,Science and Medicine,"mathematics, symbolic mathematics, physics"
Synfig,Open-source 2D animation software," c++, gtk, gtkmm, python",Graphics / Video / Audio / Virtual Reality,"vector graphics, animation, 2d/3d graphics"
syslog-ng,"syslog-ng is an enhanced log daemon, supporting a wide range of I/O methods","elasticsearch, kafka, sql, python, c",Other," cloud, logging, high performance data processing, reliable log transfer, data processing pipeline"
TARDIS-SN,Exploring supernovae made easy,python,Science and Medicine,"astronomy, supernova, science"
TensorFlow,An open-source machine learning framework for everyone.,"machine learning, deep learning, python, data analysis, c/c++",Other,"deep learning, machine learning, python, data, data science"
The Apache Software Foundation,Providing open source software to the public free of charge,"java,  c++",Programming Languages and Development Tools," big data, cloud, libraries"
The GNU Project,GNU is a free software Operating System and a collection of other utilities,"c/c++,  javascript,  android,  python, scheme",Operating Systems,"http, operating systems, package managers, astronomy, reverse engineering"
The Honeynet Project,The Honeynet Project - R&D for Honeypot/Honeynet Technology and InfoSec Research," python, golang, honeypot, machine learning, networking",Security,"honeynets, honeypots, deception, research, malware"
The Java Pathfinder Team,JPF is a highly extensible Java virtual machine built for software verification,"javajava,  jvm,  android,  distributed systems",Programming Languages and Development Tools,"program analysis,  test input generation,  model checking,  symbolic execution,  verification of concurrent systems"
The Julia Language,A fresh approach to Technical Computing,"julia, julialang",Programming Languages and Development Tools,"technical computing, data science, scientific computing, machine learning, numerical computing"
The Libreswan Project,Encrypting the Internet with IKE and IPsec,"c,  python",Security,"vpn, ipsec, ike"
The Linux Foundation,A non-profit consortium dedicated to fostering the growth of Linux,"c, c++, cups, ipp",Operating Systems,"automotive, printing, kernel, lsb, spdx"
The LLVM Compiler Infrastructure,LLVM Compiler Infrastructure,"llvm, clang, mlir",Programming Languages and Development Tools,"compilers, debuggers, code analysis, programming languages and development tools"
The Mifos Initiative,End Poverty One Line of Code at a Time,"android, java, angular, mysql, spring",End User Applications,"fintech, mobile banking, cloud, big data, web"
The NetBSD Foundation,Of course it runs NetBSD,"c, bsd make",Operating Systems,"kernel, userland, unix, packaging, bsd"
The ns-3 Network Simulator Project,ns-3 is a packet-level network simulator for research and education.,"c/c++,  python",Other,"research,  networking, simulation"
The Terasology Foundation,Voxel world game/engine with a large focus on extensibility and developer tools," java, lwgjl, opengl, blender, gradle",End User Applications,"games, ai, graphics, voxel, sandbox"
The Wine Project,"Wine runs Windows applications on Linux, BSD, Solaris, macOS and Android.","c,  opengl,  directx,  win32, vulkan",Other,"compatibility,  3d,  directx,  opengl, vulkan"
VideoLAN,Open Source Multimedia for everyone,"c++, asm, c, go, c#",Graphics / Video / Audio / Virtual Reality,"multimedia,  video processing, vr, audio, video"
webpack,webpack is a module bundler.," javascript, webpack",Programming Languages and Development Tools,web development
Wikimedia Foundation,Global movement whose mission is to bring free educational content to the world," html,  css,  python, javascript, php",Web," mediawiki,  semantic web,  i18n, wikipedia, wikimedia"
Wireshark,Wireshark is the world's foremost network protocol analyzer.," qt, c/c++,  lua, pcap, cmake",Security,"network monitoring, data visualization, network security"
