Organizations,About,Technology,Category,Topics
languagetool.org,Style and grammar checker,"java, javascript, machine learning, ai, tensorflow",End User Applications,"artificial intelligence, language, edtech, education, nlp"
LEAP Encryption Access Project,We make encryption easy to use.,"python, twisted, javascript, openvpn, gnupg",End User Applications,"e2e, mail, vpn, encryption"
LibreHealth,Healthcare for Humanity,"java, php,  javascript, mysql, webcomponents",Science and Medicine," web apps, health, ictd, medicine, global health"
LibreOffice,LibreOffice is the leading free and open source office suite.,"c++, java, python",End User Applications,"end user applications, office suite, desktop application, android"
libvirt,Toolkit to manage virtualization hosts from many languages,"hypervisor, kvm, xen, lxc",Cloud,"virtualization, virtual machine, container"
LLVM Compiler Infrastructure,LLVM Compiler Infrastructure,llvm,Programming Languages and Development Tools,"compilers, compiler api"
LuaRocks,The package manager for the Lua programming language,"lua, linux, windows, unix, c",Programming Languages and Development Tools,"programming language, package manager"
MariaDB Foundation,One of the most popular databases on the web with many notable users,"mariadb, mysql, c, c++, java",Data and Databases,"database, sql"
Matrix.org,"An ambitious open ecosystem for decentralised, encrypted communication.","golang, ios,  android,  python, react",Social / Communications,"real time communications, team chat, voip, instant messaging, decentralization"
MetaBrainz Foundation Inc.,Curating open data sets with open source softer and loads of volunteers.,"python, perl, javascript, postgresql, react",Data and Databases,"music, metadata, big data, community"
Metasploit,The world’s most used penetration testing framework,"ruby, postgresql, python, c, assembly",Security,"security, penetration testing, offensive security, exploitation"
Mixxx DJ Software,"DJ Your Way, For Free. Join our friendly community of hackers, DJs, and artists!","qt, audio, music, real-time, c++",Graphics / Video / Audio / Virtual Reality,"beatdetection, metadata"
mlpack,a scalable C++ machine learning library,c++,Data and Databases,"machine learning, deep learning, algorithms, data science"
Mobile Robot Programming Toolkit (MRPT),Empowering C++ development in robotics,"c/c++, cmake, python, webs",Science and Medicine,"robot, ai, computer vision, real-time, slam"
Moodle,Empowering educators to improve our world,"php,  javascript, ionic, sql, angular",Social / Communications,"education, web applications, e-learning, school system, learning management"
MovingBlocks,Terasology: like an open source Minecraft - imagine the possibilities!," java, opengl, json, blender, github",End User Applications,"game, voxel, minecraft, sandbox, modding"
Mozilla,"Internet for people, not profit.","javascript, c++, rust, python, css",Web,"open web, free software, web, browser"
MuseScore,"Create, play and print beautiful sheet music","qt, c++11, cpp, midi",Graphics / Video / Audio / Virtual Reality,"music, music notation, user interface, end user applications, sheet music"
National Resource for Network Biology (NRNB),Developing open source software to enable network-based biomedical discovery,"java, javascript, python, html, c/c++",Science and Medicine,"network analysis, biology, data visualization, data modeling, web applications"
Neovim,Vim-fork focused on extensibility and usability,"lua, c, vim, javascript,  python",Programming Languages and Development Tools,"text editor, vim, cross platform, tools"
Netfilter project,netfilter.org is the home of the Linux firewalling tools,"linux kernel, c",Operating Systems,"firewall, computer networking"
NumFOCUS,Open Code = Better Science,"python, julia, r, javascript, c++",Science and Medicine,"statistical computing, machine learning, high performance computing, big data, data visualization"
omegaUp.com,omegaUp is aimed to increase the number of talented Software Engineers in LatAm.,"php, mysql,  python",Web,"cs education, education, web community"
Open Bioinformatics Foundation,Promoting practice & philosophy of OSS & Open Science in biological research.,"python,  javascript, d, php, c/c++",Science and Medicine,"computational biology, bioinformatics,  web"
Open Chemistry,Advancing Open Source and Open Science for Chemistry,"python, c++, javascript,  java, opengl",Science and Medicine,"science, data science, visualization, chemistry"
Open Data Kit,Open Data Kit is used to collect data for social good in difficult environments.," android,  java",End User Applications,"mobile, global development, global health, social good"
Open Food Facts,"A collaborative, free and open database of food and cosmetic products.","perl, mongodb, ios, android, machine learning",Science and Medicine,"computer vision, crowdsourcing, open data, food, health"
Open Roberta Lab,Open Roberta® Lab is an online IDE introducing kids to program robots with NEPO®,"java, javascript",Web,"education, programming, robotics"
Open Source Robotics Foundation,Our mission is to support the development of OSS for use in robotics,"c/c++, python, javascript, ros, gazebo",Programming Languages and Development Tools,robotics
Open States,Open Source State Legislative Data,"python, django, react, graphql, postgresql",Other,"civic tech, scraping, web, government"
OpenAstronomy,Opening the eyes of research astronomy software to the whole world.,"python, julia, c++, numba",Science and Medicine,"visualization, astronomy, solar physics, orbital mechanics, high-energy astrophysics"
OpenCensus,Planet Scale Tracing and Monitoring,"python, java, ruby, node, go",Cloud,"tracing, monitoring, c++, php"
OpenMRS,Write code. Save lives.," java, spring, javascript, rest, mysql",Science and Medicine,"open source, medical records, developing countries"
OpenSIPS,"A multi-purpose Open Source SIP proxy/server for carriers, telecoms or ITSPs","c,  python, mysql, scripting",Social / Communications,"voip, telephony, real-time-communications, sip"
OpenStreetMap,Creating and distributing free geographic data for the world.,"postgis,  java,  ruby,  javascript, c/c++",Data and Databases,"gis, maps, crowdsourcing, geoinformatics"
openSUSE,"The makers' choice for sysadmins, developers and desktop users.","ruby on rail, perl,  ruby, html/javascript, c/c++",Operating Systems," web, qa, packaging,  ui/ux"
OpenWISP,Open Source solution to build and manage wifi networks,"python, django, javascript, openwrt, linux",Web,"wifi, mesh-networks, wireless, networking, web development"
OpnTec,Developing Open Event Solutions for Everyone,"python, javascript, emberjs, cloud, android",Social / Communications,"open event, event solutions, web"
Oppia Foundation,"Adaptive, enjoyable learning experiences that provide personalized feedback.","angularjs, python,  javascript, appengine,  css",Web,"education, web, interactive, tools, community"
OSGeo,The Open Source Geospatial Foundation,"c/c++, standards, python, sql, database",Other,"mapping, gis, geospatial, citizen science, open science"
OW2,The open source community for infrastructure software.,"java, perl, middleware, bpm, wiki",Other,"enterprise information systems, cloud, security, middleware"
OWASP Foundation,"OWASP, The Open Web Application Security Project.","java, net, ruby, javascript, python",Security,"application security, cloud security, mobile security"
P2PSP.org,Shaping the future Internet TV,"python,  javascript, webrtc, sockets, c/c++",Graphics / Video / Audio / Virtual Reality,"live streaming, real time, distributed networks, p2p, video"
PEcAn Project,Develop accessible tools for reproducible ecosystem modeling and forecasting," javascript, postgresql,  php, c, r",Science and Medicine," scientific visualization,  data science,  climate science, ecosystem models, ecological forecasting"
Performance Co-Pilot,Performance Co-Pilot - system-level performance analysis toolkit,"python, redis, c, linux, javascript",Operating Systems,"high performance computing, visualization, web development, kernel, performance"
phpBB Forum Software,phpBB is the most widely used free and open-source forum solution.,"mysql,  javascript, html5/css3, php, symfony",Social / Communications,"social, communication, collaboration, forum, community"
phpMyAdmin,A web interface for MySQL written in PHP,"php, mysql, cakephp, jquery, javascript",Data and Databases,"mysql, developer, administrator, web applications, database"
Plone,The premier python-based open source CMS,"python,  javascript, html, css, reactjs",Web,"communications, collaboration, content management, web"
PMD,An extensible cross-language static code analyzer.,"java, xml, javacc, antlr, xpath",Programming Languages and Development Tools,"code analysis, code quality, source code analyzer, linter"
Pocket Science Lab,Miniaturizing the Open Science Lab with Open Hardware and Open Source Software,"android, java, firmware, c, cad",Science and Medicine,"science, education, firmware, school apps"
Polly Labs,Promoting Polyhedral Compilation,"c/c++, llvm, polly, isl, ppcg",Programming Languages and Development Tools,"compilers, polyhedral model"
PostgreSQL,"PostgreSQL is a powerful, open source object-relational database system.","postgresql, sql, rdbms, ordbms, c",Data and Databases,"sql, database, big data"
Probot,Automate and improve GitHub workflows,"javascript, node, github",Programming Languages and Development Tools,"bot, automation, development tools"
Public Lab,Open hardware and software to help communities measure and analyze pollution,"ruby on rails, javascript, node.js",Science and Medicine,"science, environment, collaboration, community, hardware"
Purr Data,Visual Programming Language for Realtime Multimedia,"javascript, html5/css3, node.js, c/c++",Programming Languages and Development Tools,"real-time, audio, dsp, video, data vizualisation"
Python HYDRA,Build better Web APIs. Enable smart clients.,"python, rdf, flask, hydra, json/json-ld",Web,"apis, database, functional-programming, semantic web, knowledge graph"
Python Software Foundation,Python is a programming language used by software developers and scientists.,python,Science and Medicine,"programming languages, science"
QEMU,QEMU is an open source machine emulator and virtualizer,"c, kvm",Cloud,"emulation, hypervisor, kernel, lowlevel, cloud"
Quill.org,Helping millions of learners become better writers and critical thinkers,"ruby, rails, react, javascript, postgresql",Web,"education, edtech, machine learning, nlp, web"
R project for statistical computing,R is a free software environment for statistical computing and graphics,"r-project, c, c++, javascript, fortran",Programming Languages and Development Tools,"data science, visualization, statistics, graphics, machine learning"
radare,Radare2 reverse engineering framework and toolset,"c, cpp, rust, qt",Security,reverse engineering
ReactOS,"ReactOS is a free, open source, Windows compatible operating system.","c, c++",Operating Systems,"operating systems, drivers, desktop, kernel, windows"
Read the Docs,Read the Docs hosts documentation for the open source community.,"python, sphinx, django, javascript, elasticsearch",Programming Languages and Development Tools,"docs, web, communications"
Red Hen Lab,Research on Multimodal Communication,"python, scikit-learn, tensorflow, singularity, syntaxnet",Science and Medicine,"multimedia, audio processing, video processing, artificial intelligence, machine learning"
RoboComp,RoboComp is an open-source framework to develop and manage robot components.,"c/c++, python, cmake, openscenegraph, ice - zeroc",Other,"robotics, computer vision, simulation"
Rocket.Chat,The ultimate free open source solution for team communications," javascript, ios, android, node, meteor.js",Social / Communications,"chat, collaboration, machine learning, chatops, bot"
Rspamd,An advanced spam filtering system,"c, machine learning, javascript, lua",Security,"email, spam filtering, high performance computing"
RTEMS Project,RTEMS is a real-time operating system kernel used around the world and in space.,"c, python, posix, bsd unix",Operating Systems," kernel,  embedded systems,  multicore, iot, real time"
Ruby,"The Ruby programming language, libraries, and tools",ruby,Programming Languages and Development Tools,programming languages
Ruby on Rails,Ruby on Rails is web framework that optimizes for programmer happinness.,"ruby, ruby on rails, html",Web,"web, web development, web applications"
Ruby Science Foundation,Scientific Computing tools for Ruby,"ruby, c, c++, cuda",Science and Medicine,"visualization, compilers, parallel algorithms, data science, artificial intelligence"
Sage Mathematical Software System,"Creating a viable free alternative to Magma, Maple, Mathematica and Matlab.","python 3, python, cython, c/c++",Science and Medicine,"mathematics, toolbox"
Scala,The programming language where object-oriented meets functional.,"scala, jvm, llvm",Programming Languages and Development Tools,"compilers, programming-tools, functional-programming, programming-language"
Scilab,Cross-platform numerical computational package and programming language.,"c, c++, java, scilab",End User Applications,"science, mathematics, numerical computation, graphics"
ScummVM,ScummVM is a GSoC umbrella for game preservation projects,"c++, opengl, sdl, assembly",End User Applications,"games, game engines, software preservation"
Seastar,Framework for writing high-performance server applications on modern hardware,"cpp, framework, dpdk, tcp, linux",Programming Languages and Development Tools,"high performance, tcp, app development, network, framework"
Software and Computational Systems Lab at LMU Munich,"Software Analysis, Software Verification, and Benchmarking","java, python,  javascript",Programming Languages and Development Tools,"software analysis, software verification, benchmarking, smt solver"
Space @ Virginia Tech,Space@VT is devoted to the investigation of the space environment.,"python, javascript, d3, mysql, mongodb",Science and Medicine,"real time, web, data visualization, data analytics"
SPDX,Promoting open source compliance through standard communication of SW licenses.,"rdf,  python,  java, json",Programming Languages and Development Tools,"compliance, open source, licensing"
Stemformatics,Stemformatics is a web-based pocket dictionary for stem cell scientists.,"python, javascript, postgresql",Science and Medicine,"web applications, cloud, bioinformatics"
STE||AR Group,HPX: The C++ Standard Library for Parallelism and Concurrency,"c++, cuda, opencv, python, boost",Programming Languages and Development Tools,"hpc, parallel algorithms, runtime systems, distributed datastructures, asynchronous many task systems"
Stony Brook University Biomedical Informatics,Advance biomedical knowledge through innovative data science research,"python, matlab, c++, javascript",Science and Medicine,"biomedical data science, cancer informatics, deep learning, medical imaging"
strace,linux syscall tracer,"linux, c, git, shell script, make",Operating Systems,"diagnostic, debugging, tracing"
Streetmix,"Design, remix, and share your neighborhood street, all in your browser.","javascript, react, redux, postgresql, mongodb",End User Applications,"smart cities, web, civic tech"
Submitty,Programming assignment submission with automated grading and manual TA grading,"python, c++, databases, web/html/css, php/javascript/ajax",Other,"education, privacy/security, data visualization, web"
Sugar Labs,"We make tools that learners use to explore, discover, create, and reflect.","python, javascript, gtk+",Other,"education, games, user interface, media, stem"
Sustainable Computing Research Group (SCoRe),"SCoRe has conducted research covering various aspects of Security, Mobile & IOT.","android, java, go, node, pyth",Web,"iot, web, mobile, machine learning, security"
Swift,Swift is a high-performance system programming language.,"c++, llvm,  cmake, swift",Programming Languages and Development Tools,"compilers, programming languages"
SymPy,SymPy is a Python library for symbolic mathematics.,python,Science and Medicine,"mathematics, computer algebra"
Systers Community,Helping women find their potential in code. You are not alone.,"ios, android, python, ruby on rails, javascript",Other,"mobile applications,  web apps, community"
TEAMMATES @ National University of Singapore,An online feedback management system for education," java, appengine, javascript",Web,"education, teaching, cloud, web applications"
The Center for Connected Learning and Computer-Based Modeling,NetLogo: A language and IDE for programming and scientific simulations," javascript, scala, html5/css3",Programming Languages and Development Tools,"simulation, education, programming language, science, academic research"
The Eclipse Foundation,An amazing open source community of diverse technology and collaboration.,"php,  java, xtext, javascript, c/c++",Other,"research, industry, internet of things, runtime systems"
The Honeynet Project,The Honeynet Project - R&D for Honeypot/Honeynet Technology and InfoSec Research,"python 3,  python, golang, c/c++, machine learning",Security,"honeypots, malware, sandbox, deception, networking"
The Java Pathfinder Team,JPF is a highly extensible Java virtual machine built for software verification,"java, jvm, android, distributed systems",Programming Languages and Development Tools,"program analysis, model checking, symbolic execution, test input generation, formal methods"
The Libreswan Project,Encrypting the Internet with IKE and IPsec,"c, python,  shell script, qemu",Security,ipsec vpn
The Linux Foundation,A non-profit consortium dedicated to fostering the growth of Linux,"c, c++, cups, ipp",Operating Systems,"kernel, printing, wireless, lsb, spdx"
The MacPorts Project,Open Source package manager for macOS,"tcl, html/javascript, frontend, vue.js, react.js",End User Applications,"package manager, mac os x, macos, command line, build tools"
The Mifos Initiative,End Poverty One Line of Code at a Time,"java, android, spring, angularjs, mysql",End User Applications,"fintech, financial inclusion, mobile banking, digital financial services, microfinance"
The NetBSD Foundation,Of course it runs NetBSD,"c, bsd make",Operating Systems,"kernel, userland, unix, packaging, bsd"
The ns-3 Network Simulator Project,ns-3 is a packet-level network simulator for research and education.,"c/c++,  python",Other,"networking, research and development, network simulation"
The Processing Foundation,Our goal is to empower people of all backgrounds to learn how to program.,"java, javascript, python, android, opengl",Programming Languages and Development Tools,"creative coding, graphics, design, education, web"
The Qt Project,The Qt Project co-ordinates the development of the Qt software framework.,"c++11, cpp, qt, qml, opengl",Programming Languages and Development Tools,"graphics, gis, maps, declarative language"
The syslog-ng project.,Open source log management solution with over a million users worldwide.,"java, c/c++, big data, elasticsearch, rest",Security,"logging, log management, message queue, python"
The Vega Visualization Tools by the UW Interactive Data Lab,"Declarative formats & Applications for Creating, Saving & Sharing Visualizations","javascript, typescript, react, d3.js",Data and Databases,"data visualization, visualization grammar, data science, declarative language, plotting tools"
