,Organizations,About,Technology,Category,Topics
0,52°North GmbH,52°North works on innovative ideas and technologies in geoinformatics,"python, javascript, java, web services, ogc standards",Science and Medicine,"citizen science, spatial information infrastructures, open standards, geoinformation systems"
1,AboutCode,AboutCode is a suite of tools to uncover data ... about software and code:,"python, javascript, django, postgres",Other,"software composition analysis, software packages, scanning"
2,Accord Project,Linux Foundation’s open source project for smart legal contracts.,"javascript, react, compiler, ocaml, coq",Programming Languages and Development Tools,"compilers, ai, legal, smart contracts, blockchain"
3,AerospaceResearch.net,making space together,"python, machine learning, sdr, sqlite, raspberry pi",Science and Medicine,"space applications, signal processing, software defined radio, cubesats, simulations"
4,AFLplusplus,Fuzzing for the future,"c/c++, llvm, rust, fuzzing, instrumentation",Security,"fuzzing, secure development, instrumentation"
5,Android Graphics Tools Team,Providing excellent tools for graphics developers and driver makers,"java, opengl, c++, spir-v, webgpu",Programming Languages and Development Tools,"bug finding, developer tools, graphics, fuzzing"
6,AnkiDroid,makes remembering things easy,"javascript, android, java, gradle",End User Applications,"education, android, user generated content, flashcard"
7,AOSSIE,Australian Umbrella Org for Open-Source Projects,"javascript, android, machine learning, scala, ios",End User Applications,"machine learning, electronic voting, natural language processing, social science"
8,Apertium,A free/open-source machine translation platform,"python, javascript, c++, xml, bash",Other,"natural language processing, machine translation, less-resourced languages"
9,apertus° Association,Open Technology for Professional Film Production,"linux, c/c++, fpga, vhdl, embedded",Graphics / Video / Audio / Virtual Reality,"computer vision, camera, image processing, computational photography, digital imaging"
10,ArduPilot,"The world's most versatile, trusted and open autopilot","python, linux, c/c++, drones, robotics",Other,"robotics, embedded systems, real-time, drones, vison"
11,Audacity,"Free, open source, cross-platform audio software",c++,Graphics / Video / Audio / Virtual Reality,"audio, audio editor, audio analysis, audio processing"
12,BeagleBoard.org Foundation,"Community supported open hardware for makers, innovators and educators","linux, fpga, arm, risc-v, dsp",Programming Languages and Development Tools,"robotics, iot, ai, open hardware, process automation"
13,Bench-Routes,Bench-routes is an open-source project to analyze performance and monitor APIs.,"react, golang, docker",End User Applications,"monitoring, web, devops, time-series"
14,Blender Foundation,We build a free and open source 3D creation suite.,"c, python, opengl, c++, vulkan",Graphics / Video / Audio / Virtual Reality,"virtual reality, graphics, rendering, 3d tools, 3d animation"
15,Boost C++ Libraries,Boost provides free peer-reviewed portable C++ source libraries,"c++, c++11, c++14, c++17, c++20",Programming Languages and Development Tools,"algorithms, image processing, c++, data structures"
16,BRL-CAD,"We do computer graphics, 3D printing, & develop computer-aided tech (CAx)","python, c/c++, opengl, opencl, scripting",Graphics / Video / Audio / Virtual Reality,"visualization, geometry, high performance computing, 2d/3d graphics, ray tracing"
17,caMicroscope,Toolkit for cancer imaging research,"python, javascript, mongodb, tensorflow, medical imaging",Science and Medicine,"machine learning, distributed systems, science and medicine, data integration"
18,Casbin,"Authorization library that supports access control models like ACL, RBAC, ABAC","python, javascript, java, nodejs, golang",Security,"security, web, cloud"
19,CASTOR,Trustworthy software intensive systems for critical functions.,"java, scala, bytecode",Programming Languages and Development Tools,"testing, software analysis, optimization, development, automated program repair"
20,CCExtractor Development,Now in Rust,"c, python, rust, flutter",Graphics / Video / Audio / Virtual Reality,"video, subtitles, media, bittorrent"
21,"Center for Research in Open Source Software, UC Santa Cruz",Bridging the Gap Between Student Work and Successful Open Source Projects,"c/c++, robotics, c++17, ceph, arrow",Other,"databases, hardware, storage, sensors, callibration"
22,Ceph,The Future of Storage,"python, javascript, c++, angular, typescript",Data and Databases,"distributed systems, storage"
23,CERN-HSF,The umbrella organization for Particle (High-Energy) Physics-related projects,"python, c/c++, data analysis, concurrency, container orchestration",Science and Medicine,"machine learning, performance optimization, algorithmics, particle physics, big data science"
24,CGAL Project,C++ library of computational geometry and geometry processing,"c/c++, qt",Science and Medicine,"geometry, mesh processing, computation geometry, geometry processing"
25,CHAOSS Project,Creating analytics and metrics to help define open source community health.,"python, elk, vue, nltk, fossology",Other,"metrics, community, analytics, dependencies, diversity and inclusion"
26,Chapel,A Productive Parallel Programming Language,"c, python, c++, chapel, high performance computing",Programming Languages and Development Tools,"compilers, programming languages, distributed computing, high performance computing, parallel computing"
27,Checkstyle,Tool to help programmers write Java code that adheres to a coding standard.,"java, antlr",Programming Languages and Development Tools,"static code analysis\u200e, code review tool, coding standards, coding conventions"
28,Chromium,"Fast, seamless, safe, and reliable computing experiences accessible for all.","python, javascript, java, c++, git",Web,"web, browser, operating-system"
29,Cilium,"eBPF-based Networking, Security, and Observability","c, linux, go, kubernetes, ebpf",Cloud,"networking, kernel, cloud-native"
30,CircuitVerse.org,Build and learn logic circuits in the cloud!,"javascript, machine learning, rails, canvas, internationalization",Web,"education, web, simulations, pedagogy, digital logic design"
31,CiviCRM LLC,Growing and sustaining relationships,"mysql, php, angular",End User Applications,"nonprofit, crm"
32,CloudCV,Building platforms for reproducible AI research,"python, django, docker, angular, aws",Cloud,"machine learning, artificial intelligence, computer vision, deep learning, reinforcement learning"
33,CNCF,Building sustainable ecosystems for cloud native software,"go, rust, kubernetes",Cloud,cloud computing
34,coala,Linting and Fixing Code for All Languages,"django, haskell, python 3, docker, antlr",Programming Languages and Development Tools,"devops, static code analysis\u200e, chat"
35,Continuous Delivery Foundation,Open-source community seeking to deliver software with security & speed,"jenkins, tekton, spinnaker, ortelius, screwdriver.cd",Programming Languages and Development Tools,"developer tools, continuous delivery, great developer tooling"
36,CRIU,Checkpoint/Restore in User-space,"c, python, linux kernel",Operating Systems,"operating systems, containers, live migration, checkpoint-restore"
37,Cuneiform Digital Library Initiative (CDLI),International digital library of artifacts inscribed with cuneiform writing,"python, mysql, javascript, java, php",Data and Databases,"digitization, cultural heritage, nlp"
38,Dart,Dart is a client-optimized language for fast apps on any platform.,"flutter, dart, programming-language",Programming Languages and Development Tools,mobile apps
